date,DXY,SP500,GOLD,BTC,US10Y,OIL,VIX
2026-06-19,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil uptrend,normal
2026-06-20,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil uptrend,normal
2026-06-22,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil uptrend,normal
2026-06-23,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil downtrend,normal
2026-06-24,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil downtrend,normal
2026-06-25,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil downtrend,normal
2026-06-26,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil downtrend,normal
2026-06-29,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil downtrend,normal
2026-06-30,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil downtrend,normal
2026-07-01,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil downtrend,normal
2026-07-02,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil downtrend,normal
2026-07-03,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil downtrend,normal
2026-07-06,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil downtrend,normal
2026-07-07,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil downtrend,normal
2026-07-08,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil downtrend,normal
2026-07-09,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil downtrend,normal
2026-07-10,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil downtrend,normal
2026-07-11,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil downtrend,normal
2026-07-13,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil uptrend,normal
2026-07-14,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil uptrend,normal
2026-07-15,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil uptrend,normal
2026-07-16,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil uptrend,normal
2026-07-17,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil uptrend,normal
2026-07-20,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil uptrend,normal
2026-07-21,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil uptrend,normal
2026-07-22,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil uptrend,normal
2026-07-23,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil uptrend,normal
2026-07-24,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil uptrend,normal
2026-07-25,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil uptrend,normal
2026-07-27,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil uptrend,normal
2026-07-28,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil uptrend,normal
2026-07-29,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil uptrend,normal
2026-07-30,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil uptrend,normal
2026-07-31,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil uptrend,normal
2026-08-02,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil uptrend,normal
2026-08-03,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil uptrend,normal
2026-08-04,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil downtrend,normal
2026-08-05,weak dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil downtrend,normal
2026-08-06,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil uptrend,normal
2026-08-07,weak dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil uptrend,calm
2026-08-10,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil uptrend,normal
2026-08-11,strong dollar,stocks bull,gold downtrend,crypto bear,rates rising,oil uptrend,normal
2026-08-12,strong dollar,stocks bull,gold uptrend,crypto bear,rates rising,oil uptrend,calm
